date,regime
2019-06-25,calm
2019-07-02,calm
2019-07-10,calm
2019-07-17,calm
2019-07-24,calm
2019-07-31,calm
2019-08-07,calm
2019-08-14,calm
2019-08-21,calm
2019-08-28,calm
2019-09-05,calm
2019-09-12,calm
2019-09-19,calm
2019-09-26,calm
2019-10-03,calm
2019-10-10,calm
2019-10-17,calm
2019-10-24,calm
2019-10-31,calm
2019-11-07,calm
2019-11-14,calm
2019-11-21,calm
2019-11-29,calm
2019-12-06,calm
2019-12-13,calm
2019-12-20,calm
2019-12-30,calm
2020-01-07,calm
2020-01-14,calm
2020-01-22,calm
2020-01-29,calm
2020-02-05,calm
2020-02-12,calm
2020-02-20,calm
2020-02-27,calm
2020-03-05,calm
2020-03-12,calm
2020-03-19,transition
2020-03-26,transition
2020-04-02,stress
2020-04-09,transition
2020-04-17,stress
2020-04-24,transition
2020-05-01,stress
2020-05-08,transition
2020-05-15,stress
2020-05-22,transition
2020-06-01,stress
2020-06-08,transition
2020-06-15,stress
2020-06-22,transition
2020-06-29,stress
2020-07-07,transition
2020-07-14,stress
2020-07-21,transition
2020-07-28,stress
2020-08-04,transition
2020-08-11,stress
2020-08-18,transition
2020-08-25,stress
2020-09-01,transition
2020-09-09,calm
2020-09-16,calm
2020-09-23,calm
2020-09-30,calm
2020-10-07,calm
2020-10-14,calm
2020-10-21,calm
2020-10-28,calm
2020-11-04,calm
2020-11-11,calm
2020-11-18,calm
2020-11-25,calm
2020-12-03,calm
2020-12-10,calm
2020-12-17,calm
2020-12-24,calm
2021-01-04,calm
2021-01-11,calm
2021-01-19,calm
2021-01-26,calm
2021-02-02,calm
2021-02-09,calm
2021-02-17,calm
2021-02-24,calm
2021-03-03,calm
2021-03-10,calm
2021-03-17,calm
2021-03-24,calm
2021-03-31,calm
2021-04-08,calm
2021-04-15,calm
2021-04-22,calm
2021-04-29,calm
2021-05-06,calm
2021-05-13,calm
2021-05-20,calm
2021-05-27,calm
2021-06-04,calm
2021-06-11,calm
2021-06-18,calm
2021-06-25,calm
2021-07-02,calm
2021-07-12,calm
2021-07-19,calm
2021-07-26,calm
2021-08-02,calm
2021-08-09,calm
2021-08-16,calm
2021-08-23,calm
2021-08-30,calm
2021-09-07,calm
2021-09-14,calm
2021-09-21,calm
2021-09-28,calm
2021-10-05,calm
2021-10-12,calm
2021-10-19,calm
2021-10-26,calm
2021-11-02,calm
2021-11-09,calm
2021-11-16,calm
2021-11-23,calm
2021-12-01,calm
2021-12-08,calm
2021-12-15,calm
2021-12-22,calm
2021-12-30,calm
2022-01-06,calm
2022-01-13,calm
2022-01-21,calm
2022-01-28,calm
2022-02-04,calm
2022-02-11,calm
2022-02-18,calm
